Código Cliente;Nível de risco;Possui servidor CFTV;Pessoa Física, Jurídica, ou Órgão Público;Estado;Cidade;Bairro;Data/hora;Código do evento;Confirmado
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:30:51.877;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:30:59.380;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:31:08.263;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:31:15.640;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:31:22.420;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:31:32.673;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:31:40.133;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:31:47.620;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:31:54.990;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:32:01.837;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:32:09.340;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:32:16.793;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:32:23.577;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:32:31.150;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:32:38.557;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:32:46.070;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:32:52.787;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:33:00.210;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:33:07.753;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:33:15.287;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:33:21.973;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:33:29.400;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:33:36.933;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:33:43.707;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:33:51.097;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:33:58.643;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:34:06.120;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:34:12.883;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:34:20.340;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:34:27.830;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:34:37.503;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:34:43.883;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:34:51.670;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:34:59.100;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:35:06.587;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:35:13.203;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:35:20.810;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:35:28.263;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:35:35.723;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:35:42.510;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:35:49.900;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:35:57.370;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:36:05.660;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:36:13.027;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:36:20.440;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:36:27.860;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:36:34.783;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:36:42.240;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:36:49.673;E130;0
